"Author(s), Title, Journal",Link,Year Published,Danger Topic,Purpose,Subjects,Subject Characteristics,Study Design,Year Data Collected,Control,Intervention,Conclusion,Funding Source,Comments
"Tarapdar, Saima and Kellett, Mary (2011). Young people’s voices on cyber bullying: what can age comparisons tell us. Diana Award.",http://oro.open.ac.uk/32271/1/Diana_-_Young_Peoples_Voices_Report.pdf,2011,Cyberbullying,The research had two aims: (1) to provide a nuanced understanding of the nature and prevalence of cyberbullying; (2) To contribute to the body of knowledge and discourse about effective ways of strengthening response and prevention.,1490,Pupils aged 12 - 16,Survey,2009-2011,N/A,N/A,"Cyberbullying affected 38% of young people either as victims or witnesses and was experienced mostly at irregular intervals.  Providing effective responses to cyberbullying required a combination of different
approaches from young people, schools and educational settings, network providers and technology companies, charities as well as the government",,
"Qing Li.Cyberbullying in High Schools: A Study of Students' Behaviors and Beliefs about This New Phenomenon.Journal of Aggression, Maltreatment & Trauma",https://www.tandfonline.com/doi/pdf/10.1080/10926771003788979?needAccess=true,2010,Cyberbullying,"This study explores high school students’ beliefs and behaviors associ ated with cyberbullying. Specifically, it examines this new phenome non from the following four perspectives: (a) What happens after
students are cyberbullied? (b) What do students do when witnessing
cyberbullying? (c) Why do victims not report the incidents? and (d)
What are students’ opinions about cyberbullying?",269,Grade 7,Survey,"Not mentioned, should be before or in 2008",N/A,N/A,"1.Schools need to establish systematic programs to stop cyberbullying.
2.Schools should educate school adults, students, and parents about cyberbullying and provide clear procedures to follow when cyberbullying occurs.
3.Students, a key group in fighting cyberbullying, need to learn responsibilities associated with the use of technology.",,
"Kunal Relia, Zhengyi Li, Stephanie H. Cook, Rumi Chunara.Race,Ethnicity and National Origin-based Discrimination in Social Media and Hate Crimes Across 100 U.S. Cities.New York University",https://arxiv.org/pdf/1902.00119.pdf,Submitted on 31 Jan 2019,Hate speech,"We study malicious online content via a specific type of hate speech: race, ethnicity and national-origin based
discrimination in social media, alongside hate crimes motivated by those characteristics, in 100 cities across the United States.",532 million Tweets,"We used Twitter’s Streaming Application Programming In terface (API) to procure a 1% sample of Twitters public stream from January 1st, 2011 to December 31st, 2016.
From this data set we selected Tweets made in the speci fied 100 cities using the “place” attribute.","1.Twitter’s Streaming Application Programming In terface (API) to procure a 1% sample of Twitters public
stream.",2011-2016,N/A,N/A,"We showed that there is a larger distribution of features in discrimination Tweets that are targeted compared to those that are self-narration of discrimination in the cities with the most race, ethnic ity and national-origin based hate crimes. In terms of the relationship between social media discrimination and race,ethnicity and national-origin based hate crimes, the propor tion of social media discrimination that is targeted was sig nificantly related to the number of hate crimes. When not considering specific cities with outlier numbers of crimes,the proportion of social media discrimination that is self narration was also significant. Linguistically, we identified features more common in discrimination Tweets versus non discrimination Tweets, and also showed that positive andnegative emotion, as well as disappointment, money, night and work were significantly related to race, ethnicity or national-origin based hate crimes by city. The surprising sig nificance of positive emotion may be potentially related to high-levels of emotion in general in discrimination, or pos itivity in response to self-narration of discrimination expe riences (Tynes et al. 2012). The ubiquity of emotion in dis crimination is also supported by the increased frequency of the empath feature sadness in discrimination Tweets (Table 5). Finally, we also showed that there was race-based dis crimination from existing, recognized lists of Twitter bots,linked to most of the 100 cities considered and most predominantely in Washington D.C.",,
Maeve Duggan，PEW RESEARCH CENTER,https://www.cybersmile.org/wp-content/uploads/PI_2017.07.11_Online-Harassment_FINAL.pdf,2017,Sexual Harassment,"A new, nationally representative Pew Research Center survey of 4,248 U.S. adults was conducted to find out more about online harassment.","4,248",U.S. adults,Survey,2017,N/A,N/A,"1.Four-in-ten U.S. adults have personally experienced harassing or abusive behavior online; 18% have been the target of severe behaviors such as physical threats, sexual harassment(6%).
2.Strikingly, 28% of those whose most recent encounter involved severe types of abusive behavior – such as stalking, sexual harassment, sustained harassment or physical threats – do not think of their own experience as constituting “online harassment.
3.Still, sexual harassment is more common among women than among men and is a particular problem for young women. Among adults ages 18 to 29, women are more than twice as likely as men to report experiencing sexual harassment online (21% vs. 9%)",,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Brittany Anthony Polaris,https://polarisproject.org/wp-content/uploads/2018/08/A-Roadmap-for-Systems-and-Industries-to-Prevent-and-Disrupt-Human-Trafficking-Social-Media.pdf,2018,Human trafficking,"This report builds upon Polaris’s 2017 report, The Typology of Modern Slavery, which analyzed data,gleaned from nearly 10 years of operating the National Human Trafficking Hotline, to show that human trafficking in the United States consists of 25 distinct business mod els. For each, the Typology report illuminated the basic 
operational plan - the demographics of both victims and traffickers, and how victims are recruited and controlled.",127,"individual survivor 
respondents","survey, focus group and external research",2017,N/A,N/A,"1.By way of scope, case data from January 2015 through 
December 2017 records 845 potential victims recruited 
on internet platforms. This includes:
• 250 potential victims recruited on Facebook, 
• 120 recruited on a dating site, 
• 78 recruited on Instagram, 
• 489 recruited on another type of Internet plat form such as Craigslist, chat rooms, or a website 
that could not be identified during the hotline call.
2.In Polaris’s survivor sur vey, 26 percent of participants stated their traf ficker exploited them via their own personal social 
media accounts",,
"Samantha Bradshaw,University of Oxford,2019 Global Inventory of Organised Social Media Manipulation",https://demtech.oii.ox.ac.uk/wp-content/uploads/sites/93/2019/09/CyberTroop-Report19.pdf,2019,Propoganda,"Over the past three years, we have monitored the global organization of social media manipulation by 
governments and political parties. Our 2019 report analyses the trends of computational propaganda and the evolving tools, capacities, strategies, and resources.",70,countries,"a systematic content analysis of news articles, a secondary 
literature review of 
public archives and 
scientific reports, drafting country case studies and expert consultations",2019,N/A,N/A,"1.Social media has become co-opted by many authoritarian regimes. In 26 countries, computational propaganda is being used as 
a tool of information control in three distinct ways: to suppress fundamental human rights, discredit political opponents, and drown out dissenting opinions.
2.A handful of sophisticated state actors use 
computational propaganda for foreign influence 
operations. Facebook and Twitter attributed 
foreign influence operations to seven countries 
(China, India, Iran, Pakistan, Russia, Saudi Arabia, 
and Venezuela) who have used these platforms to 
influence global audiences.
3. Despite there being more social networking 
platforms than ever, Facebook remains the 
platform of choice for social media manipulation. 
In 56 countries, we found evidence of formally 
organized computational propaganda campaigns 
on Facebook.",,
"Kira E. Riehm,Associations Between Time Spent Using Social Media
and Internalizing and Externalizing Problems Among US Youth,JAMA Psychiatry",https://jamanetwork.com/journals/jamapsychiatry/fullarticle/2749480?alert=article,2019,Mental health,"Social media use may be a risk factor for mental health problems in adolescents.
However, few longitudinal studies have investigated this association, and none have quantified the proportion of mental health problems among adolescents attributable to social media use.To assess whether time spent using social media per day is prospectively associated with internalizing and externalizing problems among adolescents.",6595, adolescents aged 12-15 years during wave 1, household interviews using audio computer-assisted self-interviewing,2013-2016, adolescents not spending time on social media, adolescents spending different time on social media,"Adolescents who spend more than 3 hours per day using
social media may be at heightened risk for mental health problems, particularly internalizing problems. Future research should determine whether setting limits on daily social media use,increasing media literacy, and redesigning social media platforms are effective means of
reducing the burden of mental health problems in this population.",,
"PEW RESEARCH CENTER,MONICA ANDERSON",https://www.pewresearch.org/internet/2018/09/27/a-majority-of-teens-have-experienced-some-form-of-cyberbullying/,2018,Cyberbullying,A study is conducted to study teens' experience of cyberbullying.,"1058
743","1,058 parents and 743 teens","This particular survey featured interviews with 1,058 parents who belong to the panel and have a teen ages 13 to 17, as well as interviews with 743 teens. Parents who have multiple teenage children were asked to provide information about each of these teens. The panel randomly selected one of these teens, and parents were instructed to respond to all survey questions with this teen in mind. Interviews were conducted online and by telephone from March 7 to April 10, 2018.",2018,N/A,N/A,"1.The most common type of harassment youth encounter online is name-calling. Some 42% of teens say they have been called offensive names online or via their cellphone.
2.One-quarter of teens say they have been sent explicit images they didn’t ask for, while 7% say someone has shared explicit images of them without their consent. 
3.The vast majority of teens (90% in this case) believe online harassment is a problem that affects people their age, and 63% say this is a major problem.Some 39% of girls say someone has spread false rumors about them online, compared with 26% of boys who say this.
4.In addition to these gender differences, teens from lower-income families are more likely than those from higher-income families to encounter certain forms of online bullying. For example, 24% of teens whose household income is less than $30,000 a year say they have been the target of physical threats online, compared with 12% whose annual household income is $75,000 or more. However, teens’ experiences with these issues do not statistically differ by race or ethnicity, or by their parent’s level of educational attainment.
5.The likelihood of teens facing abusive behavior also varies by how often teens go online. Some 45% of teens say they are online almost constantly, and these constant users are more likely to face online harassment. Fully 67% of teens who are online almost constantly have been cyberbullied, compared with 53% of those who use the internet several times a day or less. These differences also extend to specific kinds of behaviors. For example, half of teens who are near-constant internet users say they have been called offensive names online, compared with about a third (36%) who use the internet less frequently.",,
